date_visit,n_people,amount_fee
2024-01-04,0,0
2024-01-05,546,442000
2024-01-06,509,449900
2024-01-07,460,420300
2024-01-08,187,177500
2024-01-09,92,64700
2024-01-10,0,0
2024-01-11,33,29900
2024-01-12,42,41900
2024-01-13,92,102600
2024-01-14,118,117400
2024-01-15,52,50800
2024-01-16,15,11400
2024-01-17,14,14400
2024-01-18,11,9000
2024-01-19,40,45200
2024-01-20,99,77500
2024-01-21,66,67900
2024-01-22,21,20900
2024-01-23,17,11000
2024-01-24,0,0
2024-01-25,23,25900
2024-01-26,31,27900
2024-01-27,80,84800
2024-01-28,75,92000
2024-01-29,63,65600
2024-01-30,12,6800
2024-01-31,7,5200
2024-02-01,17,14000
2024-02-02,25,21700
2024-02-03,47,40800
2024-02-04,28,27500
2024-02-05,16,13100
2024-02-06,6,3500
2024-02-07,4,3000
2024-02-08,2,2000
2024-02-09,4,2000
2024-02-10,76,89900
2024-02-11,105,103100
2024-02-12,40,42800
2024-02-13,5,7500
2024-02-14,0,0
2024-02-15,2,3600
2024-02-16,5,3000
2024-02-17,30,32200
2024-02-18,32,32800
2024-02-19,10,8300
2024-02-20,2,2000
2024-02-21,4,3800
2024-02-22,11,16600
2024-02-23,47,36700
2024-02-24,106,115600
2024-02-25,19,22000
2024-02-26,4,6400
2024-02-27,5,9800
2024-02-28,0,0
2024-02-29,0,0
2024-03-01,5,2000
2024-03-02,6,5000
2024-03-03,3,1000
2024-03-04,0,0
